company,reg_no,sic_div,ebitda_growth_raw,y_growth,margin_2022,y_margin_pp,log_turnover,firm_age,log_employees,rev_per_emp,rev_cagr_pre,ebitda_cagr_pre,margin_trend_pre
SCHRODER PENSION MANAGEMENT LIMITED,05606609,64,0.7928730512249443,0.7928730512249443,0.03166989948862634,-2.715383379529806,10.252558660448129,17.0,,,-0.18336142158289903,-0.14820142840749562,0.030472827495414967
SCHRODER & CO. LIMITED,02280926,64,0.3056050495522249,0.3056050495522249,0.30212584794663216,-4.960823989389024,12.526634401483374,34.0,6.118097198041348,626.0264317180616,0.12122498077532229,0.13422471377046485,0.0102696905945589
TRAVEL COUNSELLORS LIMITED,02133414,79,0.9990636077854325,0.9990636077854325,0.05311831624423554,1.9629844849323543,12.526634401483374,35.0,5.634789603169249,1005.2357142857143,0.047709592102986864,-0.045247537309258345,-0.01707482828932879
WANT2BTHERE LTD,06184676,79,0.6815040465581522,0.6815040465581522,0.32480967606164207,-7.237891313141665,11.816188028738999,15.0,5.278114659230517,690.954081632653,0.10437815144606244,0.43574037284760947,0.17698237828854996
VUR VILLAGE TRADING NO 1 LIMITED,00418878,55,1.4116147824503915,1.4116147824503915,0.024129145618273666,2.3502401157508928,12.335564640762929,76.0,7.537139200363593,52.47810050714615,0.01838166623600679,-0.03841599272776919,-0.004533215662949657
BPP UNIVERSITY LIMITED,02609100,85,1.5136651323360184,1.5136651323360184,0.23353348729792148,5.451794162672771,11.687508825669061,31.0,6.905753276311464,119.31362725450902,0.11785967041655399,0.6726780933686825,0.16382688382314936
EQT PARTNERS LIMITED,06590781,64,0.8829409302772262,0.8829409302772262,0.2908510925177794,-0.6691203729452588,11.555940623946178,14.0,4.762173934797756,892.2681367521368,0.8887969962518428,1.4479917833949951,-0.336963306451215
ZELLIS HOLDINGS LIMITED,10975623,64,0.42556900144253884,0.42556900144253884,0.28464214428286283,2.9382676534141003,12.074539255568324,5.0,7.537139200363593,78.95092300765421,0.07345039344686399,0.9692354397126768,0.2385366999465809
M GROUP ENERGY (NETWORK INFRASTRUCTURE) LIMITED,00245626,82,0.8594603276582076,0.8594603276582076,0.07614132495199892,3.555079572218657,11.311653477657249,92.0,5.817111159963204,243.36011904761904,0.03831413762424729,-0.0011217958134533967,-0.00937895651062104
HARVEY NASH LIMITED,02202476,78,-0.10101613867304243,-0.10101613867304243,0.02503310564628955,-0.45592390939716043,12.496224166382847,35.0,5.6937321388027,900.087542087542,-0.03252958666342709,,0.032725986598025274
RENOLD LIMITED,00249688,28,0.6070038910505836,0.6070038910505836,0.13165983606557377,3.9425499477094004,12.18177995296113,92.0,7.503289630675082,107.60749724366042,-0.012001159164230835,0.009247552497784639,0.008142049504308954
JEMELLA LIMITED,04115691,46,-0.30710289662247725,-0.30710289662247725,0.32130348791693275,-10.400179927292545,12.176417238622548,22.0,5.777652323222656,601.1021671826626,0.16515133010117156,0.29620137114941514,0.08793349321246413
BRIGHT BLUE FOODS LIMITED,08211695,10,0.8038592259620656,0.8038592259620656,0.04647382821854571,2.250918283349448,12.187200685029273,10.0,7.430114138561801,116.40628706998814,0.3295311220887365,0.24972816686871258,-0.009483542156259704
NEP UK FILM I LIMITED,10482244,64,0.237554193451936,0.237554193451936,0.15246696055324832,3.179323853146063,12.298464936069484,6.0,6.53813982376767,317.45151953690305,0.048703896850698536,0.1171212611976018,0.0263325924869581
PACIFIC SHELF 1855 LIMITED,11453115,63,5.521985764293665,4.030904718277599,0.0840220911639323,1.1804316783189952,10.49659912602577,4.0,5.942799375126701,94.9926719160105,,,
BCL REALISATIONS 2026 LIMITED,01353688,46,-0.6155092865293075,-0.6155092865293075,0.11846137799580156,-7.7699115083748245,12.108643989338509,44.0,5.66988092298052,625.6324551724139,0.06965010235788882,0.9254132938851167,0.09815043471902733
M GROUP TELECOM LIMITED,10201726,61,1.25969715826592,1.25969715826592,0.054526330076004347,-0.35740738461158483,11.389808227723144,6.0,6.352629396319567,154.0348432055749,0.8887969962518428,,0.057521491737935075
